,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
40,"['Makita Cordless Rebar Tier, 18V, XPT, DTR180ZJ', 4152.29]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"['Makita Cordless Cleaner 18 V Li-ion', 191.44]","['Makita DVC750LZ 18V LXT Brushless Vacuum Cleaner Dry/Wet (Tool Only)', 736.74]","['Makita Cordless Drill/Driver (18\xa0V/4.0\xa0Ah, 2\xa0Batteries and Charging Station in Makpack) DDF459RMJ, blue, DDF459RF4J 0W, 18V', 1927.04]","['Makita DCL180Z - 18V Lithium-Ion Cordless Cleaner, W/Out Battery', 1549.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"['Makita Power Planers - 1902 82mm (3-1/4"")', 693.02]","['Makita Cordless Circular Saw 10,8 V - 85mm, HS301DZ', 1875.35]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"['Makita DUB361Z 18v+18v Li-Ion Cordless 2-Speed Blower W/Out Battery', 764.03]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"['Makita BO3700 Electric Finishng Sander 180W 93X185mm', 272.43]","['Makita 9237CB 180mm Polisher 240V', 1001.56]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"['Makita DJR185Z 18V Li-Ion Reciprocating Saw W/Out Battery', 416.24]","['Makita DJV180Z - 18V Lithium-Ion Cordless Jig Saw , W/Out Battery', 531.76]","['Makita DRC200Z 18V Li-Ion Robotic Cleaner W/Out Battery', 4376.17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"['Makita D15958 Glass Drill Bit, 5 mm Diameter x 65 mm Overall Length', 21.74]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"['Makita P-51873 - HSS Drill Bit Set', 74.42]","['3 Piece Titanium Step Drill Bit Set', 25.39]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"['Makita ACC D12164 Straight Router Bit, 6 mm Size', 83.12]","['Makita ACC D12267 Flush Trim Router Bit', 54.96]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"['Makita E-05664 Premium Padded Protective Guide Rail Bag for Track Saw Guide Rails up to 59 in.', 240.45]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"['Makita Cable Tie Hook and 2\xa0158024\xa01', 35.39]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"['Makita 837670-0 Type 2 Btd/Btp/Dtw Makpac Tray - Multi-Colour', 32.28]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"['Makita 763608-8 1/4 Inch Collet, Black', 40.72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"['Makita P45135 ACC Wool Bonnet, 180 mm Length', 54.96]","['Makita 3709 Laminate Trimmer 6mm (1/4"")', 334.96]","['Makita ACC B-02945 Nylon Cutting Head for Brush Cutter', 669.61]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"['Makita P-51954 Fast Change Countersunk Set', 32.95]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"['Makita Cordless Nibbler 18V, DJN161Z', 1644.54]","['Makita 18V LXT Cordless Driver Drill 13mm, DF457DWE', 510.34]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"['Makita EA3502S40B Petrol Chain Saw, 16-Inch Size', 1484.43]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"['Makita DEAADP08 USB Adaptor for 10.8 V / 12 V Max. for Li-ion Batteries', 123.91]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"['Makita B-65931 Screw driver PH3 (#3X150)', 23.0]","['Makita D58833 Ratchet Screwdriver PH2 25mm', 20.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"['Makita D-36980 D36996 Maccess Accessories Set 34pcs', 98.0]","['Makita P-90370 120 Piece Drill and Bit PRO Accessory Set, Green', 266.19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"['MAKITA HEAT GUN 1500W HG6030K', 249.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"['Makita Cordless Metal Cutter Chip Collection, 18 V, 51mm, 136 mm, DCS552Z', 632.81]","['Makita HR1841F Electric Rotary Hammer Drill 470W 18mm', 561.55]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"['Makita DMR202 Bluetooth Speaker, 18 V', 1165.0]","['Makita DMR200 Jobsite Speaker Cordless Bluetooth, 18 V, Blue/Black, Small', 99.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"['Makita P-37122 Sander Belt for 9910 Belt Sander 5-Pieces, 76 mm x 457 mm Size', 41.67]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"['Makita Impact Cordless LED Brushless Motor screwdriver, DTD154Z', 623.08]","['Makita Impact Cordless Screwdriver, 18 V,Li-ion 165 Nm, LED, DTD152Z', 242.1]","['Makita Impact Cordless Angle Screwdriver, 18 V, 1/4 inch 60 mm, DTL061Z', 876.76]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"['Makita Cordless Coffee Maker Cxt/Lxt, Green, 7.8 x 11.2 x 10.3 inches, DCM501Z', 384.48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"['Stanley 13MM, 700W Hammer Drill for Drilling Concreate, Metal, Wood, Aluminum with Metal Chuck & Variable speed Impact Drill for DIY, Yellow/Black, SDH700-B5, 2 Year Warranty.', 181.0]","['Black+Decker 18V 1.5Ah 650 RPM Combi Hammer Drill with 2 Batteries in Kitbox for Metal, Wod & Masonry Drilling & Screwdriving/Fastening, Orange/Black - BCD003C2K-GB, 2 Years Warranty', 225.0]","['Black+Decker 650W 115mm Small Angle Grinder with 3 Metal Grinding Discs , Orange/Black - G650MEA1-B5, 2 Years Warranty', 129.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"['Bosch Glue Gun PKP 18 E (1 x Extra-Length Nozzle, Glue Stick, 240 V)', 109.06]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"['Ford 600 Watts Electric Impact Drill, 13 mm, FE1-10NCB, 5 Pieces Drill Bits', 129.0]","['Ford tools Electric Impact Drill with 5 PieceS Concrete Drill Bit Set, 500W, FE1-1008', 115.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"['Makita 196309-7 Keyless Drill Chuck 10 Bdf343, Multi-Colour', 85.55]","['Makita Cordless Hammer Drill 18V, 91/58 Nm, DHP458Z', 502.21]","['Makita HR2631FT Combination Hammer Drill with Quick Change Chuck, 26 mm', 1209.16]","['Makita 6347DWAE 2 Speed Cordless Driver Drill, 13 mm Size, 18V, 2.0Ah', 1331.16]","['Makita 14.4V LXT Cordless Driver Drill 10mm, DF347DWE', 650.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"['Makita D-07565 ACC Auger Drill Bit, 450 mm Length x 10 mm Diameter', 36.29]","['Makita Turquoise Cordless Angle Drill DA3010 10mm (3/8""), 2400 rpm, 450W, 1.6kg', 921.54]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"['Makita DHS680Z - 18V Lithium-Ion Cordless Circular Saw 165mm, W/Out Battery', 1100.17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"['Makita B-26761 HSS-G Double End Drill Bit, 4.5 mm x 58 mm Size', 37.87]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"['Makita Wood Hole Saw Flat Drill Bits, Wood Boring Spade Flat Head Metric Drill Bit (25x150mm)', 12.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"['Makita B-26836 HSS-G Double End Drill Bit, 6 mm x 66 mm Size', 57.81]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"['Tivoly 11110520001\xa0T-Gun Gun Cartridge Adaptable for Cordless Drills', 276.95]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"['Makita B-26668 HSS-G Double End Drill Bit, 3 mm x 46 mm Size', 23.0]","['Makita B-26858 HSS-G Double End Drill Bit, 10 mm x 89 mm Size', 150.83]","['Makita B-26799 HSS-G Double End Drill Bit, 5 mm x 62 mm Size', 44.52]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"['Makita DTW1001Z 18V Lithium-Ion Cordless Impact Wrench, 19mm, W/Out Battery', 1250.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"['Makita D-07799 ACC Wood Spade Drill Bit, 160 mm Length', 15.09]","['Makita D-07107 ACC Wood 3point Drill Bit, 155 mm Length', 11.93]","['Makita D-07026 ACC Wood 3point Drill Bit, 60 mm Length', 8.13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"['Makita D-06339 HSS Ground Point Drill Bit 10-Piece Pack, 4 mm Diameter x 75 mm Overall Length', 32.49]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"['Makita D-06498 HSS Ground Point Drill Bit 10-Piece Pack, 8 mm Diameter x 117 mm Overall Length', 104.32]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"['Makita Cordless Drill, 18 V, 40/23 Nm, BL, DDF483Z', 996.0]","['Makita Cordless Drill, 18 V, 40/23 Nm, BL, DDF083Z', 670.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"['DEWALT Right Angle Attachment - Impact Ready - DWARA120', 166.54]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"['Makita Brushless/Cordless Hammer Drill, 18 V, 50/25 Nm, 1,7kg, LED, DHP485Z', 475.65]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"['Makita DHR171Z - 18V Lithium-Ion Cordless Sub-Compact Rotary Hammer, W/Out Battery', 622.61]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"['Makita E-05234 Hammer and Tool Holder', 74.26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"['Makita D00022/00418 SDS-Plus Hammers Drill Bit, 5 mm Diameter x 110 mm Overall Length', 11.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"['Makita D-00315/00701 SDS-Plus Hammers Drill Bit, 17 mm Diameter x 210 mm Overall Length', 22.37]","['Makita D-00169/00555 SDS-Plus Hammers Drill Bit, 9 mm Diameter x 210 mm Overall Length', 13.51]","['Makita D-00016/00402 SDS-Plus Hammers Drill Bit, 4 mm Diameter x 110 mm Overall Length', 11.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"['Makita HM0871C 12 lb. AVT® Demolition Hammer, accepts SDS-MAX bits', 2715.88]","['Makita D20111 SDS-Plus Drill & Chisel 13pcS', 105.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"['Makita DHR263Z Cordless Combination Hammer Drill', 502.05]","['Black+Decker 18V 1.5Ah Li-Ion Cordless Drill Driver for Wood Drilling & Screwdriving/Fastening, Orange/Black - BCD001C1-GB, 2 Years Warranty', 213.0]","['Black+Decker 18V 1.5Ah Li-Ion Cordless Electric Compact Drill Driver with 2 Batteries in Kitbox for Wood Drilling & Screwdriving/Fastening, Orange/Black - BCD001C2K-GB, 2 Years Warranty', 199.0]","['Makita HR2600 Electric Rotary Hammer Drill 800W 26mm', 561.55]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
