,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
10,"['Makita P-43599 Abrasive Disc Girt K240, 125 mm Diameter', 23.0]","['Makita B-05044 Reciprocating Blade', 99.54]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"['Makita P-45777 Guide Rail Connector Kit', 36.0]","['Makita B-65894 Hex key wrench Set 9pcs.', 62.0]","['Makita D30209 Router Bit Starter Set 6mm 3pcs', 355.0]","['Makita 164095-8 Rip Fence for Circular Saws Guide Rule Bhs630/Bss500/Bss50, Multi-Colour', 73.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"['Makita EBH341U 33.5cc MM4 Brush Cutter', 2158.59]","['Makita DUR190UZX3 Cordless Brush Cutter, 18 V', 249.99]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"['Makita DVC260Z 18v+18v Lithium-Ion Cordless Backpack Vacuum Cleaner', 1199.17]","['Makita 18V+18V LXT - Lithium-ion Cordless Dust Extractor with Bluetooth, Tools Only, DVC864LZX', 599.0]","['Makita Cordless Vacuum Cleaner, DVC862LZ', 865.17]","['Makita DVC265ZXU Twin 18V (36V) Li-ion LXT Brushless Backpack Vacuum Cleaner - Batteries and Charger Not Included', 339.0]","['Makita 18V LXT Cordless Vacuum Cleaner Cyclone Tool Only, DCL500Z', 399.0]","['Makita DVC860LZ 36V (18V x 2) Li-ion Cordless Wet & Dry Vacuum Cleaner Dust Extractor - Skin Only', 299.0]","['Makita DCL180Z Vacuum Cleaner 18V li-ion Cordless with Battery & Charger', 399.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"['Makita B-65981 Screw driver T15 (T15X100 )', 14.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"['Makita P-71928 Tool Holder, Multi', 113.04]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"['Makita D-07054 ACC Wood 3point Drill Bit, 95 mm Length', 8.76]","['Makita D-07858 ACC Wood Spade Drill Bit, 160 mm Length', 18.89]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"['Makita 9556HNG Electric Angle Grinder 4"" 100mm 840W', 309.43]","['Makita B-12217 Thin Cutting Wheels - Flat Center (B-series) 115x1.0x22.23mm', 4.55]","['Makita 9557HNG - Angle Grinder, 115mm', 309.53]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"['Battery suitable for Makita 1220, 1222, 1233, 1234, 1235 12 V 3.0 Ah', 172.86]","['Black+Decker 12V 1.5Ah 900 RPM Cordless Drill Driver with 13 Pieces Bits in Kitbox For Drilling and Fastening, Orange/Black - LD12SP-B5, 2 Years Warranty', 159.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"['Makita B-65757 Box Joint WP plier 240mm', 125.0]","['Bosch Isio Cordless Edging and Shrub Shear Set, 3.6 V, 1.5 Ah', 314.1]","['Makita DUC252RF2 36V Li-Ion Chainsaw 10""', 1762.0]","['Makita TD0101 Impact Driver 230W', 455.0]","['Makita UC4041A Electric Chainsaw, 400 mm Size, 1800W', 659.85]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"['Makita 80701 D16639 PT ACC HSS Stainless Steel Drill Bits 5 Pieces 2.5 x 57', 32.49]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"['Makita BO6050J Random Orbital Sander', 1350.0]","['Makita DBO180Z 18V Li-Ion Orbit Sander W/Out Battery', 204.61]","['Makita BO5030 Random Orbit Sander 125MM', 252.0]","['Makita BO5041 Random Orbit Sander, 300W', 231.72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"['Makita DUC252Z Cordless Chain Saw', 1212.02]","['Makita D40216 General Purpose Bit Set 17pcs', 46.0]","['MAKITA ELECTRIC LAWNMOWER, 37CM, 1400W, ELM3720', 599.0]","['Makita D33691 Maccess Accessories Set 71pcs', 215.0]","['Makita DHP483RFJ 18V Li-Ion Hammer Drill', 1470.0]","['Makita DBS180Z Cordless Belt Sander, 18 V', 526.15]","['Makita DCL182ZB Cordless Vacuum Cleaner 18 V Black 100 x 11.5 x 15 cm, 0 W', 410.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"['Makita A-89648 ‘M‘ Force Blade (Advanced Tooth Design) 185mm', 58.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"['Makita B-66042 Screw driver SL6.5 (6.5X125 )', 16.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"['Makita Green Cross Line Laser, Self Leveling, accurate ± 0,3mm/1m, IP54, SK106GDZ', 2061.05]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"['Makita Glass and Marble Tile Drill Bit with 1/4"" Hex Shank, Feature Drilling Stably,Chip Easily, Opening Neat Smooth, No Broken Edges & Tremor Phenomenon, (4mm Hole)', 21.0]","['Makita Glass and Marble Tile Drill Bit with 1/4"" Hex Shank, Feature Drilling Stably,Chip Easily, Opening Neat Smooth, No Broken Edges & Tremor Phenomenon, (6mm Hole)', 23.0]","['Makita Glass and Marble Tile Drill Bit with 1/4"" Hex Shank, Feature Drilling Stably,Chip Easily, Opening Neat Smooth, No Broken Edges & Tremor Phenomenon, (5mm Hole)', 22.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"['Makita DFJ214ZL 18V/14.4V/12V Lithium-ion Cordless Fan Jacket - Large, High-visibility type W/Out Battery', 811.99]","['Makita DFJ214ZXL 18V/14.4V/12V Lithium-ion Cordless Fan Jacket - XL, High-visibility type, W/Out Battery', 788.84]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"['Makita 80125 D-16994 PT ACC Holesaw, 16 mm Diameter', 20.47]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"['Makita 743008-8 Rubber Pad for Grinder A-81125/743009-6', 32.18]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"['Makita P-31996 Abrasive Disc Girt K240, 150 mm Diameter', 30.91]","['Makita D37150 Maccess Accessories Set 104pcs', 290.0]","['Makita 2107FK Portable Band Saw, 710W', 1875.35]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"['Makita B-66020 Screw driver SL4.0 (4X100 )', 10.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"['Makita D-21325-14 Pcs. Bits for SDS-Plus', 110.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"['Makita 532484072 Sawchain 45Cm 18"" Dcs4301, Multi-Colour', 99.35]","['Makita SJ401 Electric Scroll Saw 50W 18mm', 901.55]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"['Makita D13465 PT ACC Straight Bit, 12 mm Shank Diameter', 83.12]","['Makita D-47363 Forstner Drill Bit Set (5 Pieces)', 114.64]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"['Makita B-65713 Pass Thru Socket, 17 mm Size', 16.99]","['Makita B-65698 Pass Thru Socket, 15 mm Size', 16.99]","['Makita B-65648 Pass Thru Socket, 10 mm Size', 15.72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"['Makita DPB180Z 18v Lithium-Ion Cordless Portable Band Saw, 120 x 120mm, W/Out Battery', 1875.35]","['Makita DC18SD 18v Charger Suitable for 14.4v-18v Li-ion Batteries, 18 V, Other, SMALL', 151.39]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"['Makita dcf201z\xa0–\xa0Fan (Black, Turquoise)', 568.62]","['Makita CF101DZ 12v MAX Lithium-ion Cordless Fan with Oscillating Function, W/Out Battery', 409.1]","['Makita DCF102Z 14.4/18V Lithium-ion Cordless Fan with Oscillating Function W/Out Battery', 310.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"['MAKITA 197214-1 - Convertidor 2 Bateria 18 BCV03', 424.58]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"['Makita BHX2500 - Petrol Blower, 4 Stroke, 24.5cc', 1190.02]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
